,country,new,all,cure,death,population,diagnosticRate,deathRate
,瓦努阿图,0.0,1.0,1.0,0.0,,,0.0
所罗门群岛,所罗门群岛,0.0,17.0,5.0,0.0,623281.0,0.0027275017207327034,0.0
东帝汶,东帝汶,0.0,31.0,30.0,0.0,1324094.0,0.0023412235083007703,0.0
柬埔寨,柬埔寨,0.0,362.0,341.0,0.0,16245729.0,0.0022282779677046194,0.0
蒙古,蒙古,18.0,941.0,473.0,0.0,3121772.0,0.030143136654438567,0.0
老挝,老挝,0.0,41.0,36.0,0.0,6961210.0,0.0005889780655949182,0.0
,马绍尔群岛,0.0,4.0,4.0,0.0,,,0.0
,圣文森特和格林纳丁斯,2.0,100.0,82.0,0.0,,,0.0
,塞舌尔,0.0,202.0,184.0,0.0,,,0.0
,多米尼克,0.0,88.0,83.0,0.0,,,0.0
,格林纳达,0.0,85.0,41.0,0.0,,,0.0
,圣基茨和尼维斯,0.0,28.0,24.0,0.0,,,0.0
不丹,不丹,1.0,440.0,409.0,0.0,817054.0,0.05385200978148323,0.0
,梵蒂冈,0.0,27.0,15.0,0.0,,,0.0
厄立特里亚,厄立特里亚,30.0,741.0,572.0,0.0,5187948.0,0.014283103839899707,0.0
新加坡,新加坡,24.0,58377.0,58252.0,29.0,5791901.0,1.0079074210695245,0.04967709885742673
布隆迪,布隆迪,10.0,751.0,640.0,1.0,11216450.0,0.0066955230933138385,0.13315579227696406
卡塔尔,卡塔尔,140.0,141557.0,139243.0,242.0,2694849.0,5.252873166548478,0.17095586936711007
博茨瓦纳,博茨瓦纳,141.0,13014.0,10535.0,38.0,2333201.0,0.5577744909246997,0.2919932380513293
阿联酋,阿联酋,1321.0,189866.0,166541.0,629.0,9541615.0,1.9898727835906187,0.3312862755838328
马尔代夫,马尔代夫,16.0,13418.0,12828.0,48.0,444259.0,3.020310224441148,0.35772842450439707
巴林,巴林,143.0,89743.0,87846.0,349.0,1566993.0,5.727083656404336,0.3888882698372018
,摩纳哥,15.0,700.0,611.0,3.0,,,0.4285714285714286
斯里兰卡,斯里兰卡,338.0,35387.0,26353.0,160.0,20950041.0,0.16891136394434741,0.45214344250713534
马来西亚,马来西亚,1220.0,89133.0,74030.0,432.0,32042458.0,0.2781715435189148,0.4846689778196627
冰岛,冰岛,10.0,5588.0,5423.0,28.0,337780.0,1.6543312215051218,0.5010737294201861
塞浦路斯,塞浦路斯,401.0,16190.0,2057.0,85.0,1189085.0,1.3615511086255396,0.5250154416306362
几内亚,几内亚,11.0,13485.0,12773.0,80.0,13052608.0,0.1033126866293694,0.5932517612161661
科特迪瓦,科特迪瓦,31.0,21772.0,21401.0,133.0,24905843.0,0.08741723779436014,0.6108763549513136
加纳,加纳,167.0,53553.0,52266.0,331.0,29463643.0,0.18175960114640272,0.6180792859410303
科威特,科威特,221.0,147192.0,143113.0,913.0,4197128.0,3.506969527734203,0.6202782759932605
加蓬,加蓬,22.0,9373.0,9223.0,63.0,2067561.0,0.45333608053160224,0.6721433905899925
塔吉克斯坦,塔吉克斯坦,37.0,12852.0,12295.0,89.0,9107211.0,0.14111894409825357,0.6924992219109866
尼泊尔,尼泊尔,776.0,251692.0,240363.0,1749.0,29624035.0,0.8496209243609116,0.6948969375268185
白俄罗斯,白俄罗斯,1834.0,167731.0,145397.0,1299.0,9452113.0,1.774534434787227,0.7744543346191223
乌干达,乌干达,628.0,29361.0,10172.0,228.0,44270563.0,0.06632172263090488,0.7765403085725964
丹麦,丹麦,4038.0,124366.0,86192.0,992.0,5754356.0,2.161249668946447,0.797645658781339
乌兹别克斯坦,乌兹别克斯坦,142.0,75538.0,72810.0,612.0,32364996.0,0.23339412740851256,0.8101882496227064
卢旺达,卢旺达,78.0,7032.0,6089.0,57.0,12501156.0,0.05625079792620778,0.810580204778157
黎巴嫩,黎巴嫩,2116.0,153049.0,106712.0,1248.0,6093509.0,2.5116726667672107,0.8154251252866729
爱沙尼亚,爱沙尼亚,733.0,20004.0,12533.0,164.0,1306788.0,1.5307762238404392,0.8198360327934412
以色列,以色列,1363.0,367975.0,342985.0,3050.0,8452841.0,4.35327010173266,0.8288606562945852
莫桑比克,莫桑比克,113.0,17256.0,15257.0,145.0,30528673.0,0.05652391114412343,0.8402874362540567
塞尔维亚,塞尔维亚,5129.0,287730.0,15913.0,2529.0,8762027.0,3.2838291870134615,0.8789490147012824
土耳其,土耳其,27515.0,1955680.0,1721607.0,17364.0,81916871.0,2.3873958759972655,0.8878753170252803
委内瑞拉,委内瑞拉,364.0,109081.0,103741.0,975.0,32381221.0,0.3368649996243193,0.8938311896663947
立陶宛,立陶宛,3159.0,103028.0,45113.0,933.0,2876475.0,3.5817450177734904,0.905579065885002
巴勒斯坦,巴勒斯坦,2149.0,117755.0,92979.0,1078.0,5052776.0,2.3305010948437057,0.9154600653900048
乌拉圭,乌拉圭,543.0,11436.0,7406.0,105.0,3469551.0,0.3296103732154391,0.9181532004197271
纳米比亚,纳米比亚,331.0,17607.0,15373.0,164.0,2587801.0,0.6803846199920318,0.9314477196569547
挪威,挪威,257.0,42776.0,17998.0,404.0,5353363.0,0.7990491210851944,0.944454834486628
佛得角,佛得角,44.0,11502.0,11137.0,110.0,553335.0,2.0786684377456695,0.9563554164493131
斯洛伐克,斯洛伐克,3045.0,142133.0,102737.0,1378.0,5449816.0,2.6080330051509995,0.969514468842563
格鲁吉亚,格鲁吉亚,2981.0,201368.0,169282.0,1953.0,3907131.0,5.153858419387525,0.9698661157681459
卢森堡,卢森堡,434.0,43279.0,34609.0,428.0,590321.0,7.331434931164569,0.9889322766237668
巴布亚新几内亚,巴布亚新几内亚,31.0,760.0,601.0,8.0,8418346.0,0.009027901680448867,1.0526315789473684
吉布提,吉布提,11.0,5770.0,5635.0,61.0,971408.0,0.5939831667023536,1.0571923743500866
,安道尔,20.0,7466.0,6875.0,79.0,,,1.0581301901955533
科摩罗,科摩罗,10.0,643.0,610.0,7.0,832347.0,0.07725143479822717,1.088646967340591
阿塞拜疆,阿塞拜疆,4124.0,191460.0,127064.0,2088.0,9923914.0,1.9292791130596256,1.0905672203071137
阿曼,阿曼,184.0,127019.0,119009.0,1483.0,4829946.0,2.6298223624032233,1.1675418638156496
新西兰,新西兰,10.0,2110.0,2034.0,25.0,4749598.0,0.044424812373594566,1.1848341232227488
哥斯达黎加,哥斯达黎加,1125.0,156388.0,124907.0,1980.0,4953199.0,3.1573130819092876,1.2660817965572806
中非共和国,中非共和国,0.0,4936.0,1924.0,63.0,4737423.0,0.10419166707300571,1.2763371150729337
,列支敦士登公国,35.0,1635.0,1395.0,21.0,,,1.2844036697247707
约旦,约旦,2221.0,269806.0,233390.0,3496.0,9903802.0,2.7242669027510846,1.2957458321905369
韩国,韩国,1062.0,47515.0,33982.0,645.0,51269185.0,0.09267750209019317,1.3574660633484164
哈萨克斯坦,哈萨克斯坦,714.0,189551.0,161561.0,2615.0,18403860.0,1.029952412157015,1.3795759452601146
拉脱维亚,拉脱维亚,1040.0,28535.0,19072.0,394.0,1929938.0,1.4785449066239433,1.3807604695987383
日本,日本,37.0,190950.0,158131.0,2661.0,127185332.0,0.15013523729292935,1.3935585231736056
贝宁,贝宁,62.0,3152.0,2972.0,44.0,11485674.0,0.02744288232453751,1.3959390862944163
泰国,泰国,16.0,4297.0,4005.0,60.0,69183173.0,0.006211047880096509,1.3963230160577147
古巴,古巴,100.0,9771.0,8770.0,137.0,11489082.0,0.08504595928551995,1.4021082796029067
黑山,黑山,432.0,42995.0,33049.0,614.0,629219.0,6.8330740171546,1.4280730317478776
利比亚,利比亚,706.0,93283.0,63231.0,1337.0,6470956.0,1.4415644303561947,1.4332729436231681
,孟加拉,1134.0,496975.0,431590.0,7192.0,,,1.447155289501484
印度,印度,22890.0,9979447.0,9520827.0,144789.0,1354051854.0,0.7370062653449903,1.4508719771746872
马达加斯加,马达加斯加,0.0,17587.0,16992.0,259.0,26262810.0,0.06696541611503111,1.4726786831182124
奥地利,奥地利,2485.0,332828.0,294315.0,4982.0,8751820.0,3.8029575562568705,1.4968692537887438
芬兰,芬兰,358.0,32228.0,22500.0,484.0,5542517.0,0.5814686720852638,1.501799677299243
,多米尼加,720.0,157305.0,122205.0,2375.0,,,1.5098057912971616
埃塞俄比亚,埃塞俄比亚,475.0,118481.0,99751.0,1831.0,106672306.0,0.11107006536448176,1.545395464251652
荷兰,荷兰,92.0,662943.0,8324.0,10408.0,17084459.0,3.880386262157906,1.5699690621969007
尼日利亚,尼日利亚,1145.0,76207.0,67110.0,1201.0,195875237.0,0.038905887833080195,1.5759707113519754
克罗地亚,克罗地亚,3918.0,186963.0,161563.0,2955.0,4164783.0,4.489141451067198,1.5805266282633463
布基纳法索,布基纳法索,162.0,4611.0,3311.0,73.0,19751651.0,0.023344883928943457,1.5831706788115376
马耳他,马耳他,60.0,11475.0,9670.0,182.0,432089.0,2.6557028760278554,1.5860566448801743
,刚果（布）,0.0,6200.0,4988.0,100.0,,,1.6129032258064515
瑞士,瑞士,5058.0,399511.0,311500.0,6487.0,8544034.0,4.6759060181642536,1.6237350160571298
葡萄牙,葡萄牙,4320.0,362616.0,287028.0,5902.0,10291196.0,3.523555474018764,1.6276170935645422
赤道几内亚,赤道几内亚,19.0,5214.0,5064.0,85.0,1313894.0,0.39683566558641714,1.6302263137706177
摩洛哥,摩洛哥,2776.0,409746.0,369998.0,6804.0,36191805.0,1.132151325417453,1.660540920472683
,捷克,8256.0,602404.0,522649.0,10036.0,,,1.665991593681317
吉尔吉斯斯坦,吉尔吉斯斯坦,264.0,78415.0,71656.0,1321.0,6132932.0,1.2785890989823463,1.6846266658164892
沙特阿拉伯,沙特阿拉伯,181.0,360516.0,351365.0,6091.0,33554343.0,1.0744242556023225,1.6895227951047944
亚美尼亚,亚美尼亚,1174.0,151392.0,129990.0,2581.0,2934152.0,5.159650897431353,1.7048456985838087
巴拿马,巴拿马,3348.0,203295.0,168238.0,3481.0,4162618.0,4.883825515576976,1.7122900218893726
德国,德国,25826.0,1454009.0,1078944.0,25027.0,82293457.0,1.7668585729725756,1.7212410652203667
乌克兰,乌克兰,12474.0,957692.0,569200.0,16579.0,44009214.0,2.1761170285840596,1.7311411184389134
肯尼亚,肯尼亚,552.0,93405.0,74999.0,1618.0,50950879.0,0.18332362823416648,1.7322413147047804
喀麦隆,喀麦隆,113.0,25472.0,23851.0,445.0,24678234.0,0.10321646192349096,1.7470163316582914
特立尼达和多巴哥,特立尼达和多巴哥,23.0,6940.0,6385.0,123.0,1372598.0,0.5056105283557166,1.7723342939481266
俄罗斯,俄罗斯,27787.0,2736727.0,2181696.0,48568.0,143964709.0,1.9009707441564723,1.7746746387199017
,圣卢西亚,1.0,279.0,246.0,5.0,,,1.7921146953405016
几内亚比绍,几内亚比绍,0.0,2447.0,2378.0,44.0,1907268.0,0.1282986974038258,1.7981201471189212
美国,美国,230982.0,17626770.0,10291057.0,317928.0,326766748.0,5.394297341417371,1.8036656744258874
,钻石号邮轮,0.0,712.0,699.0,13.0,,,1.8258426966292134
斯威士兰,斯威士兰,67.0,7093.0,6579.0,135.0,1391385.0,0.5097798237008448,1.9032849288030451
毛里求斯,毛里求斯,0.0,524.0,489.0,10.0,1268315.0,0.04131465763631274,1.9083969465648856
莱索托,莱索托,93.0,2400.0,1435.0,46.0,2263010.0,0.10605344209703006,1.9166666666666665
菲律宾,菲律宾,1459.0,454447.0,419902.0,8850.0,106512074.0,0.42666242702212337,1.947421811564385
文莱,文莱,0.0,152.0,148.0,3.0,434076.0,0.035016909481288994,1.9736842105263157
多哥,多哥,15.0,3330.0,2890.0,66.0,7990926.0,0.04167226676858227,1.981981981981982
赞比亚,赞比亚,76.0,18504.0,17680.0,369.0,17609178.0,0.10508156598791835,1.9941634241245134
摩尔多瓦,摩尔多瓦,3263.0,131919.0,114230.0,2674.0,4041065.0,3.264461224949364,2.0270014175365185
巴基斯坦,巴基斯坦,2972.0,451494.0,399852.0,9164.0,200813818.0,0.22483213779641398,2.029705821118332
塞内加尔,塞内加尔,115.0,17451.0,16384.0,355.0,16294270.0,0.1070989986050311,2.0342673772276663
阿尔巴尼亚,阿尔巴尼亚,787.0,51424.0,26898.0,1055.0,2934363.0,1.7524757502735688,2.051571250777847
波兰,波兰,11953.0,1171854.0,903349.0,24345.0,38104832.0,3.0753422558062975,2.077477228391933
巴拉圭,巴拉圭,819.0,97028.0,69351.0,2032.0,6896908.0,1.4068333229905343,2.094240837696335
缅甸,缅甸,2415.0,113082.0,91537.0,2377.0,53855735.0,0.20997206704169946,2.1020144673776553
巴哈马,巴哈马,11.0,7725.0,6098.0,164.0,399285.0,1.9347082910702882,2.122977346278317
毛里塔尼亚,毛里塔尼亚,176.0,11805.0,8372.0,254.0,4540068.0,0.2600181318870114,2.1516306649724695
苏里南,苏里南,27.0,5428.0,5240.0,117.0,568301.0,0.9551276524236276,2.155490051584377
伯利兹,伯利兹,119.0,9791.0,4779.0,213.0,382444.0,2.5601133760759747,2.175467265856399
伊拉克,伊拉克,1533.0,580449.0,515321.0,12650.0,39339753.0,1.4754769812611686,2.179347367296696
斯洛文尼亚,斯洛文尼亚,1654.0,102043.0,79193.0,2233.0,2081260.0,4.902943409280916,2.188293170526151
瑞典,瑞典,8881.0,357466.0,4917.0,7893.0,9982709.0,3.5808516505890333,2.20804216345051
巴巴多斯,巴巴多斯,4.0,305.0,278.0,7.0,286388.0,0.10649887565121444,2.2950819672131146
安哥拉,安哥拉,77.0,16484.0,9266.0,382.0,30774205.0,0.05356434065477889,2.3173986896384373
牙买加,牙买加,61.0,11968.0,8525.0,279.0,2898677.0,0.412878012969365,2.331216577540107
法国,法国,18278.0,2483524.0,187199.0,59733.0,65233271.0,3.8071431371270648,2.405171039216855
罗马尼亚,罗马尼亚,5697.0,577446.0,477139.0,13969.0,19580634.0,2.949066919896465,2.419100660494661
,刚果（金）,492.0,15089.0,13010.0,366.0,,,2.4256080588508184
海地,海地,30.0,9627.0,8310.0,234.0,11112945.0,0.086628701932746,2.4306637581801183
越南,越南,2.0,1407.0,1263.0,35.0,96491146.0,0.001458164876599144,2.4875621890547266
匈牙利,匈牙利,2982.0,291549.0,86954.0,7538.0,9688847.0,3.0091196609875253,2.585500207512288
巴西,巴西,69826.0,7110434.0,6301547.0,184827.0,210867954.0,3.371984156492551,2.5993771969474717
圭亚那,圭亚那,26.0,6042.0,5197.0,158.0,782225.0,0.7724120297868261,2.6150281363786823
洪都拉斯,洪都拉斯,157.0,115474.0,53499.0,3021.0,9417167.0,1.2262074146078115,2.616173337721045
,圣马力诺,67.0,2049.0,1703.0,54.0,,,2.635431918008785
津巴布韦,津巴布韦,117.0,11866.0,9836.0,314.0,16913261.0,0.07015796658018818,2.6462160795550314
索马里,索马里,83.0,4662.0,3566.0,124.0,15181925.0,0.03070756837489317,2.6598026598026596
南非,南非,9126.0,892813.0,780313.0,24011.0,57398421.0,1.5554661338157716,2.6893649622037312
西班牙,西班牙,11081.0,1805633.0,196958.0,48777.0,46397452.0,3.8916641370737337,2.7013795162139815
,马提尼克岛,5.0,37.0,0.0,1.0,,,2.7027027027027026
哥伦比亚,哥伦比亚,12196.0,1468795.0,1343819.0,39787.0,49464683.0,2.969381204767854,2.708819134052063
阿根廷,阿根廷,7326.0,1524372.0,1352556.0,41534.0,44688864.0,3.4110779813064838,2.724663008766889
尼加拉瓜,尼加拉瓜,51.0,5938.0,4225.0,163.0,6284757.0,0.09448257108429173,2.74503199730549
爱尔兰,爱尔兰,481.0,77678.0,23364.0,2143.0,4803748.0,1.6170290364940043,2.7588248925049563
智利,智利,2001.0,578732.0,551200.0,16007.0,18197209.0,3.1803338632863976,2.765874359807303
阿尔及利亚,阿尔及利亚,426.0,93933.0,62089.0,2640.0,42008054.0,0.22360712067262148,2.8105138769122675
加拿大,加拿大,6815.0,492582.0,403667.0,13940.0,36953765.0,1.3329683727760893,2.829985667360967
萨尔瓦多,萨尔瓦多,0.0,42397.0,38481.0,1227.0,6411558.0,0.6612589326962338,2.894072693822676
,北马其顿,654.0,76251.0,52413.0,2225.0,,,2.9179945181046807
比利时,比利时,3146.0,618204.0,0.0,18371.0,11498519.0,5.376379340678569,2.971672781153147
印度尼西亚,印度尼西亚,7354.0,643508.0,526979.0,19390.0,266794980.0,0.24119944085904463,3.013171553422801
塞拉利昂,塞拉利昂,4.0,2464.0,1854.0,75.0,7719729.0,0.03191821889084448,3.043831168831169
马拉维,马拉维,47.0,6138.0,5661.0,187.0,19164728.0,0.032027587346921904,3.046594982078853
希腊,希腊,1153.0,128710.0,23074.0,3948.0,11142161.0,1.1551619115896816,3.067360733431746
澳大利亚,澳大利亚,21.0,28093.0,25699.0,908.0,24772247.0,0.11340513438284382,3.232121880895597
冈比亚,冈比亚,1.0,3786.0,3654.0,123.0,2163765.0,0.1749727904832549,3.248811410459588
,安提瓜和巴布达,3.0,151.0,141.0,5.0,,,3.3112582781456954
尼日尔,尼日尔,145.0,2506.0,1373.0,84.0,22311375.0,0.011231938865264916,3.35195530726257
保加利亚,保加利亚,2042.0,188288.0,93728.0,6339.0,7036848.0,2.675743457866363,3.366651087695445
英国,英国,35500.0,1954268.0,4123.0,66150.0,66573504.0,2.9355041909766384,3.384899102886605
波黑,波黑,855.0,104087.0,69495.0,3549.0,3503554.0,2.9708975514577483,3.409647698559858
危地马拉,危地马拉,607.0,131435.0,119748.0,4551.0,17245346.0,0.7621476542134904,3.462548027542131
突尼斯,突尼斯,1419.0,115966.0,87884.0,4032.0,11659174.0,0.9946330674883144,3.476881154821241
马里,马里,80.0,6049.0,3718.0,211.0,19107706.0,0.03165738472216392,3.4881798644404034
意大利,意大利,18233.0,1906377.0,1203814.0,67220.0,60482200.0,3.151963718250989,3.5260601654342243
秘鲁,秘鲁,3327.0,989457.0,924120.0,36858.0,32551815.0,3.0396369603353914,3.725073449376779
阿富汗,阿富汗,217.0,49378.0,38505.0,2025.0,36373176.0,0.13575388632546137,4.101016647089797
坦桑尼亚,坦桑尼亚,0.0,509.0,183.0,21.0,59091392.0,0.0008613775759420256,4.12573673870334
斐济,斐济,0.0,46.0,38.0,2.0,912241.0,0.005042527139209924,4.3478260869565215
伊朗,伊朗,7453.0,1138530.0,856513.0,53095.0,82011735.0,1.3882525470287879,4.663469561627713
利比里亚,利比里亚,6.0,1779.0,1406.0,83.0,4853516.0,0.03665384022634313,4.665542439572794
乍得,乍得,18.0,1818.0,1626.0,102.0,15353184.0,0.011841192028962852,5.6105610561056105
埃及,埃及,548.0,123701.0,105919.0,7015.0,99375741.0,0.12447806552707869,5.670932328760479
叙利亚,叙利亚,156.0,9759.0,4616.0,571.0,18284407.0,0.05337334702733318,5.8510093247258945
玻利维亚,玻利维亚,451.0,148665.0,127155.0,9031.0,11215674.0,1.3255110660313416,6.074731779504255
苏丹,苏丹,401.0,22265.0,12873.0,1408.0,41511526.0,0.05363570590009146,6.323826633730071
厄瓜多尔,厄瓜多尔,788.0,204249.0,177951.0,13932.0,16863425.0,1.2111952346572539,6.821086027348971
墨西哥,墨西哥,11799.0,1289298.0,953762.0,116487.0,130759074.0,0.9860103475495704,9.03491667558625
也门,也门,2.0,2087.0,1384.0,606.0,28915284.0,0.007217636181612465,29.036895064686153
法属玻利尼西亚,法属玻利尼西亚,,,,,285859.0,,
法属圭亚那,法属圭亚那,,,,,289763.0,,
马提尼克,马提尼克,,,,,385065.0,,
瓜德罗普岛,瓜德罗普岛,,,,,449173.0,,
西撒哈拉,西撒哈拉,,,,,567421.0,,
留尼旺岛,留尼旺岛,,,,,883247.0,,
马其顿,马其顿,,,,,2085051.0,,
波多黎各,波多黎各,,,,,3659007.0,,
刚果共和国,刚果共和国,,,,,5399895.0,,
土库曼斯坦,土库曼斯坦,,,,,5851466.0,,
捷克共和国,捷克共和国,,,,,10625250.0,,
多明尼加共和国,多明尼加共和国,,,,,10882996.0,,
南苏丹,南苏丹,,,,,12919053.0,,
朝鲜,朝鲜,,,,,25663011.0,,
刚果民主共和国,刚果民主共和国,,,,,82643624.0,,
孟加拉国,孟加拉国,,,,,166368149.0,,
中国,中国,,,,,1400050000.0,,
